timestep,reward,ep_len,wall_time
48,12.0,12,0.02
60,15.0,15,0.03
72,18.0,18,0.03
100,25.0,25,0.03
120,18.0,18,0.03
136,9.0,9,0.03
140,17.0,17,0.03
140,20.0,20,0.03
220,20.0,20,0.03
220,25.0,25,0.03
228,23.0,23,0.03
268,12.0,12,0.03
272,11.0,11,0.03
288,37.0,37,0.03
308,10.0,10,0.04
312,23.0,23,0.04
316,11.0,11,0.04
352,11.0,11,0.04
400,28.0,28,0.04
432,29.0,29,0.04
440,22.0,22,0.04
456,36.0,36,0.04
476,19.0,19,0.04
508,19.0,19,0.04
544,26.0,26,0.05
560,26.0,26,0.05
600,14.0,14,0.05
604,24.0,24,0.05
616,14.0,14,0.05
640,41.0,41,0.05
660,11.0,11,0.05
692,22.0,22,0.05
700,15.0,15,0.05
748,14.0,14,0.05
764,26.0,26,0.05
776,19.0,19,0.05
808,52.0,52,0.06
820,14.0,14,0.06
824,12.0,12,0.06
848,25.0,25,0.06
880,14.0,14,0.06
904,14.0,14,0.06
912,23.0,23,0.06
928,30.0,30,0.06
944,16.0,16,0.06
956,11.0,11,0.06
976,12.0,12,0.06
984,20.0,20,0.06
992,12.0,12,0.06
1024,12.0,12,0.06
1024,17.0,17,0.06
1072,12.0,12,0.07
1072,20.0,20,0.07
1076,23.0,23,0.07
1104,20.0,20,0.07
1112,10.0,10,0.07
1136,15.0,15,0.07
1144,10.0,10,0.07
1164,23.0,23,0.07
1184,10.0,10,0.07
1248,21.0,21,0.07
1280,36.0,36,0.08
1300,47.0,47,0.08
1308,31.0,31,0.08
1336,9.0,9,0.08
1372,31.0,31,0.08
1400,16.0,16,0.08
1416,11.0,11,0.08
1448,12.0,12,0.08
1488,45.0,45,0.08
1512,58.0,58,0.08
1544,24.0,24,0.09
1544,14.0,14,0.09
1544,32.0,32,0.09
1592,20.0,20,0.09
1600,14.0,14,0.09
1616,18.0,18,0.09
1632,10.0,10,0.09
1664,30.0,30,0.09
1716,29.0,29,0.09
1732,25.0,25,0.09
1740,31.0,31,0.09
1744,20.0,20,0.09
1792,19.0,19,0.10
1796,16.0,16,0.10
1828,22.0,22,0.10
1868,31.0,31,0.10
1872,20.0,20,0.10
1916,12.0,12,0.10
1952,39.0,39,0.10
1952,31.0,31,0.10
1964,12.0,12,0.10
1984,28.0,28,0.10
1996,11.0,11,0.10
2000,12.0,12,0.10
2024,15.0,15,0.11
2048,12.0,12,0.11
2068,18.0,18,0.11
2076,13.0,13,0.11
2112,16.0,16,0.11
2116,12.0,12,0.11
2120,34.0,34,0.11
2140,16.0,16,0.11
2180,17.0,17,0.11
2204,22.0,22,0.11
2212,23.0,23,0.11
2224,11.0,11,0.11
2248,11.0,11,0.11
2260,9.0,9,0.12
2304,14.0,14,0.12
2348,52.0,52,0.12
2376,41.0,41,0.12
2380,19.0,19,0.12
2388,32.0,32,0.12
2416,9.0,9,0.12
2432,14.0,14,0.12
2464,19.0,19,0.12
2480,12.0,12,0.12
2528,12.0,12,0.13
2528,28.0,28,0.13
2532,17.0,17,0.13
2608,20.0,20,0.13
2644,28.0,28,0.13
2644,74.0,74,0.13
2720,48.0,48,0.13
2720,28.0,28,0.13
2768,12.0,12,0.13
2820,44.0,44,0.14
2840,18.0,18,0.14
2844,50.0,50,0.14
2868,37.0,37,0.14
2928,21.0,21,0.14
2964,24.0,24,0.14
2972,33.0,33,0.14
2988,42.0,42,0.14
3060,33.0,33,0.15
3064,23.0,23,0.15
3064,19.0,19,0.15
3116,38.0,38,0.15
3120,14.0,14,0.15
3128,17.0,17,0.15
3180,13.0,13,0.15
3180,29.0,29,0.15
3200,21.0,21,0.15
3236,9.0,9,0.15
3240,30.0,30,0.15
3268,22.0,22,0.15
3284,11.0,11,0.15
3288,13.0,13,0.15
3292,28.0,28,0.15
3328,11.0,11,0.16
3360,18.0,18,0.16
3372,26.0,26,0.16
3376,21.0,21,0.16
3400,18.0,18,0.16
3408,12.0,12,0.16
3412,10.0,10,0.16
3436,15.0,15,0.16
3464,14.0,14,0.16
3492,23.0,23,0.16
3504,10.0,10,0.16
3516,20.0,20,0.16
3548,34.0,34,0.16
3552,12.0,12,0.16
3568,19.0,19,0.17
3600,13.0,13,0.17
3604,22.0,22,0.17
3616,12.0,12,0.17
3660,27.0,27,0.17
3676,18.0,18,0.17
3684,17.0,17,0.17
3708,27.0,27,0.17
3748,22.0,22,0.17
3764,14.0,14,0.17
3772,24.0,24,0.17
3772,22.0,22,0.17
3820,12.0,12,0.18
3824,15.0,15,0.18
3832,15.0,15,0.18
3872,12.0,12,0.18
3884,16.0,16,0.18
3908,9.0,9,0.18
3928,11.0,11,0.18
3932,46.0,46,0.18
3940,27.0,27,0.18
3972,11.0,11,0.18
4000,23.0,23,0.18
4008,9.0,9,0.18
4024,21.0,21,0.18
4048,12.0,12,0.18
4068,34.0,34,0.18
4076,17.0,17,0.18
4108,15.0,15,0.19
4128,13.0,13,0.19
4132,16.0,16,0.19
4164,35.0,35,0.19
4180,18.0,18,0.19
4204,19.0,19,0.19
4204,10.0,10,0.19
4252,30.0,30,0.19
4252,12.0,12,0.19
4280,19.0,19,0.19
4308,14.0,14,0.19
4316,34.0,34,0.19
4324,18.0,18,0.19
4348,17.0,17,0.20
4364,10.0,10,0.20
4412,16.0,16,0.20
4420,26.0,26,0.20
4440,33.0,33,0.20
4476,14.0,14,0.20
4484,11.0,11,0.20
4496,33.0,33,0.20
4544,33.0,33,0.20
4568,21.0,21,0.20
4568,23.0,23,0.20
4596,13.0,13,0.20
4608,10.0,10,0.21
4636,35.0,35,0.21
4652,21.0,21,0.21
4664,17.0,17,0.21
4692,10.0,10,0.21
4700,23.0,23,0.21
4716,20.0,20,0.21
4736,18.0,18,0.21
4764,16.0,16,0.21
4768,19.0,19,0.21
4808,18.0,18,0.21
4812,24.0,24,0.21
4824,15.0,15,0.21
4892,31.0,31,0.22
4920,27.0,27,0.22
4924,25.0,25,0.22
4928,9.0,9,0.22
4984,16.0,16,0.22
4996,47.0,47,0.22
5028,26.0,26,0.22
5032,26.0,26,0.22
5040,14.0,14,0.22
5060,16.0,16,0.22
5084,13.0,13,0.22
5132,18.0,18,0.23
5140,28.0,28,0.23
5196,14.0,14,0.23
5196,28.0,28,0.23
