timestep,reward,ep_len,wall_time
256,-163.235681,64,0.22
376,-113.633066,94,0.30
392,-167.54174,98,0.32
448,-295.338165,112,0.37
532,-119.051906,69,0.44
676,-138.981604,71,0.55
676,-212.831595,75,0.55
816,-110.24662,71,0.64
828,-74.262097,95,0.65
980,-294.112079,76,0.76
1052,-196.150319,56,0.81
1088,-144.591156,103,0.84
1252,-72.239533,68,0.96
1340,24.724033,131,1.02
1476,-104.377829,106,1.11
1480,-317.531944,98,1.11
1536,-104.437589,71,1.16
1596,-70.584002,64,1.21
1800,-128.03455,81,1.36
1832,-98.791002,74,1.39
1840,-115.259169,90,1.39
1860,-71.249063,66,1.41
2104,-72.548023,76,1.57
2200,-116.69648,85,1.64
2288,-101.581466,114,1.70
2348,-141.944267,61,1.75
2424,-107.796044,146,1.84
2592,-348.109164,98,1.97
2704,-137.968389,70,2.05
2716,-403.82427,92,2.06
2716,-473.101859,107,2.06
2916,-187.691315,81,2.19
2972,-40.440781,67,2.23
3112,-269.875881,99,2.34
3124,-86.937724,102,2.35
3192,-77.141699,69,2.40
3256,-66.38177,71,2.44
3392,-99.135558,70,2.54
3472,-83.034546,87,2.59
3524,-163.270303,67,2.63
3596,-275.082538,101,2.68
3688,-99.490626,74,2.74
3824,-132.17652,75,2.84
3864,-80.526281,98,2.87
3956,-288.068017,90,2.94
4160,-290.344294,118,3.10
4176,-101.509953,88,3.11
4216,-160.508186,88,3.14
4452,-139.260212,69,3.31
4468,-230.587422,128,3.32
4520,-158.608934,90,3.36
4620,-337.577288,101,3.43
4860,-437.914947,85,3.62
4932,-95.194049,120,3.67
4944,-85.462183,119,3.68
5044,-160.703937,106,3.75
5304,-127.741352,90,3.95
5312,-128.332576,113,3.96
5344,-35.56365,103,3.98
5460,-457.602136,104,4.05
5664,-106.78669,88,4.20
5664,-181.82155,80,4.20
5724,-218.453714,105,4.25
5748,-135.994731,72,4.26
5952,-113.976181,72,4.41
6012,-111.851613,72,4.45
6068,-123.663136,101,4.49
6100,-91.449692,88,4.51
6288,-93.683413,69,4.68
6336,-112.432904,67,4.75
6484,-378.421071,133,4.86
6544,-66.189928,64,4.91
6580,-89.33277,61,4.94
6640,-107.015345,135,4.98
6832,-80.862405,72,5.11
6980,-129.032538,100,5.22
7012,-365.063878,93,5.25
7044,-185.076938,140,5.27
7308,-237.394312,74,5.46
7316,-114.601273,84,5.46
7396,-188.329309,141,5.52
7516,-460.428485,118,5.61
7564,-99.562825,64,5.64
7640,-109.916965,81,5.70
7812,-91.586603,62,5.84
7828,-140.205997,108,5.85
7868,-294.674166,88,5.88
7952,-110.906003,78,5.94
8108,-176.194354,60,6.05
8196,-300.840968,96,13.82
8240,-268.076851,103,13.85
8304,-324.713831,88,13.90
8400,-144.237054,73,13.97
8640,-129.163095,84,14.14
8676,-108.515929,69,14.17
8716,-209.028115,119,14.20
8752,-109.118524,139,14.23
8996,-77.68943,80,14.40
9048,-307.598291,102,14.44
9060,-82.868443,77,14.45
9208,-78.574718,123,14.56
9304,-115.096975,77,14.63
9400,-103.725419,85,14.71
9592,-295.816585,136,14.86
9620,4.742722,103,14.88
9692,-105.322863,97,14.94
9780,-172.285229,95,15.00
9932,-37.906422,60,15.10
9940,-128.079841,80,15.11
10096,-243.049749,126,15.23
10228,-212.821025,112,15.32
10332,-76.799967,100,15.40
10388,-144.533566,112,15.44
10408,-38.981152,78,15.45
10720,-115.131911,78,15.72
10732,-361.304665,126,15.73
10832,-285.494655,111,15.80
10844,-167.851299,128,15.81
11016,-90.564772,74,15.93
11172,-143.715524,110,16.05
11288,-189.819477,114,16.13
11308,-51.407593,116,16.14
11572,-265.307145,139,16.34
11636,-63.427719,116,16.39
11720,-284.919086,108,16.45
11748,-182.330331,110,16.47
11864,-92.05365,73,16.55
12124,-115.272551,122,16.75
12136,-228.42694,104,16.77
12152,-144.754785,101,16.79
12176,-102.955059,78,16.81
12388,-34.205146,66,17.05
12452,-73.627579,69,17.10
12500,-219.743362,87,17.14
12564,-136.108954,107,17.19
12772,-110.516823,96,17.35
12852,-168.339089,100,17.41
12912,-173.195401,103,17.45
12980,-124.011053,104,17.50
13160,-85.939964,77,17.64
13260,-122.339037,70,17.72
13308,-250.198325,134,17.76
13368,-95.888165,114,17.80
13496,-68.225675,84,17.90
13656,-244.155418,99,18.02
13656,-133.769514,87,18.02
13704,-112.349096,84,18.05
13924,-192.335143,107,18.21
14028,-137.510157,81,18.29
14048,-169.46453,98,18.30
14076,-139.108314,105,18.32
14208,-123.621829,71,18.41
