timestep,reward,ep_len,wall_time
75,-159.658123,75,0.01
166,-353.14733,91,0.03
257,-343.97107,91,0.04
360,-343.048746,103,0.06
465,-152.057476,105,0.08
560,-300.828004,95,0.10
688,-306.870613,128,0.12
804,-157.260226,116,0.14
931,-184.44664,127,0.17
1035,-368.8842,104,0.61
1130,-355.284014,95,1.67
1223,-385.362509,93,2.70
1299,-109.129151,76,3.55
1417,-166.250299,118,4.87
1486,-98.529364,69,5.64
1587,-57.795778,101,6.76
1686,-130.09419,99,7.90
1819,-184.807857,133,9.38
1970,-218.223299,151,11.05
2132,-256.670638,162,12.86
2349,-286.531291,217,15.33
2482,-281.929633,133,16.81
2775,-71.969748,293,20.13
2927,-122.326335,152,21.82
3071,-106.210959,144,23.45
3633,-121.986145,562,29.88
4633,-103.006485,1000,41.86
4826,-282.497354,193,44.01
5826,-20.091826,1000,56.48
6826,-44.120774,1000,68.10
7826,-45.156483,1000,80.76
8826,-89.524506,1000,93.29
9826,-101.542181,1000,105.41
10826,-60.211547,1000,117.88
11826,-51.069638,1000,130.07
12826,-105.53193,1000,141.56
13826,16.36791,1000,154.90
14826,-78.085776,1000,167.06
15826,-31.80285,1000,179.72
16777,-185.446943,951,191.76
17777,-75.430675,1000,204.31
18577,-867.198823,800,213.99
19542,-177.971942,965,225.84
20542,-103.52909,1000,238.72
20728,-26.965641,186,240.79
21728,-125.10491,1000,252.86
22728,-52.261599,1000,265.33
23588,-107.731088,860,276.16
24130,-7.536194,542,282.49
24539,-14.121657,409,287.05
25438,-99.832155,899,298.95
26438,-5.132108,1000,312.14
27438,-30.577569,1000,323.80
27586,24.684021,148,325.40
28586,-18.600252,1000,338.00
29586,-50.444441,1000,351.20
29790,-3.344714,204,353.45
30790,-41.65005,1000,365.62
31790,-66.202883,1000,378.75
32236,-818.700311,446,383.89
33236,-36.386091,1000,396.55
34236,-20.073596,1000,410.08
35236,-140.055398,1000,422.00
35665,-149.51294,429,426.91
36334,-169.664858,669,434.60
37316,-256.412215,982,447.50
37421,9.568555,105,448.60
38421,-94.826756,1000,460.17
38545,26.416332,124,461.47
38655,15.461281,110,462.68
39655,-78.209808,1000,475.07
39800,-16.126009,145,476.58
40208,9.394067,408,481.30
40485,-14.726932,277,484.37
40696,15.878647,211,486.70
41033,-39.676764,337,490.52
42033,-95.749003,1000,503.42
42243,256.109686,210,505.64
42561,4.693094,318,509.17
43561,-83.530956,1000,522.37
43797,223.333352,236,525.06
43928,-15.92874,131,526.52
44152,36.232485,224,529.05
44411,-25.105865,259,532.03
44736,-14.571741,325,535.73
45736,-162.637934,1000,548.44
46066,-17.316278,330,552.03
46353,17.53188,287,555.32
46835,240.411111,482,560.98
47835,-92.665706,1000,574.41
48835,-129.348237,1000,587.26
49131,-64.205773,296,590.61
49425,-17.484171,294,593.96
49694,36.962609,269,596.87
50090,293.073617,396,601.50
51090,-10.632732,1000,613.47
51381,-140.716306,291,616.78
51680,-86.741254,299,620.12
51998,-106.692037,318,623.71
52998,-44.341557,1000,636.43
53998,-46.470054,1000,648.52
54998,-42.017862,1000,660.52
55213,-20.065203,215,662.83
56213,-56.413439,1000,676.71
57213,1.030043,1000,689.57
58213,-31.913127,1000,702.39
59213,-66.347273,1000,714.99
60213,-57.061996,1000,728.19
61213,-25.991503,1000,741.27
62213,-5.160121,1000,753.54
63213,-17.270889,1000,765.85
64213,11.582576,1000,777.87
65213,-40.528489,1000,790.80
66213,-3.554063,1000,803.65
67213,-53.425332,1000,815.82
68213,-7.606657,1000,828.79
69213,10.686547,1000,841.64
70213,22.38815,1000,854.07
71213,-31.877844,1000,867.04
72213,-4.430434,1000,880.09
73213,-43.401674,1000,892.97
