timestep,reward,ep_len,wall_time
200,-1071.930704,200,0.02
400,-1508.156373,200,0.03
600,-1264.817186,200,0.05
800,-975.696731,200,0.07
1000,-972.109004,200,0.09
1200,-1362.564817,200,2.32
1400,-1610.952145,200,4.46
1600,-1408.717357,200,6.63
1800,-1736.956612,200,8.71
2000,-1499.253839,200,10.78
2200,-1747.207356,200,12.94
2400,-1374.68047,200,15.20
2600,-1215.85913,200,17.34
2800,-1338.774529,200,19.43
3000,-1119.192537,200,21.54
3200,-1109.599645,200,23.62
3400,-909.187001,200,25.70
3600,-316.210508,200,27.83
3800,-260.443957,200,29.96
4000,-554.752755,200,32.02
4200,-262.440388,200,34.12
4400,-128.586612,200,36.24
4600,-130.67464,200,38.32
4800,-250.393508,200,40.38
5000,-268.341197,200,42.70
5200,-125.736209,200,44.94
5400,-252.769389,200,47.18
5600,-123.014339,200,49.40
5800,-1.704713,200,51.54
6000,-117.37389,200,53.72
6200,-129.661966,200,55.87
6400,-240.721388,200,58.02
6600,-124.464924,200,60.23
6800,-124.63458,200,62.39
7000,-386.74901,200,64.53
7200,-123.925516,200,66.81
7400,-1.881015,200,69.03
7600,-0.74826,200,71.26
7800,-123.699921,200,73.41
8000,-252.746336,200,75.63
8200,-117.989014,200,77.81
8400,-1.71567,200,79.97
8600,-130.007596,200,82.17
8800,-117.937367,200,84.32
9000,-247.748643,200,86.52
9200,-225.93498,200,88.70
9400,-336.098691,200,90.89
9600,-225.829088,200,93.13
9800,-255.23682,200,95.30
10000,-231.622387,200,97.49
10200,-1.087918,200,99.70
10400,-114.615432,200,101.94
10600,-119.490841,200,104.21
10800,-1.88572,200,106.52
11000,-303.953414,200,108.75
11200,-128.32787,200,110.90
11400,-122.311272,200,113.03
11600,-117.356238,200,115.16
11800,-271.603817,200,117.32
12000,-126.747778,200,119.52
12200,-123.326953,200,121.67
12400,-236.586967,200,123.81
12600,-117.060863,200,126.00
12800,-237.169965,200,128.12
13000,-234.442338,200,130.29
13200,-126.599109,200,132.45
13400,-116.841064,200,134.59
13600,-119.622214,200,136.71
13800,-116.254976,200,138.92
14000,-242.999455,200,141.11
14200,-2.53445,200,143.26
14400,-252.591535,200,145.44
14600,-4.239806,200,147.72
14800,-303.739401,200,149.85
15000,-3.469113,200,152.13
15200,-357.462439,200,154.54
15400,-237.502837,200,156.67
15600,-120.216491,200,158.93
15800,-282.127539,200,161.11
16000,-248.915645,200,163.26
16200,-125.391927,200,165.41
16400,-0.921817,200,167.66
16600,-118.253388,200,169.82
16800,-121.534198,200,172.23
17000,-232.260694,200,174.40
17200,-126.485021,200,176.54
17400,-120.311354,200,178.78
17600,-228.987616,200,181.01
17800,-121.565214,200,183.19
18000,-229.943136,200,185.38
18200,-239.377073,200,187.51
18400,-235.64096,200,189.76
18600,-121.078561,200,192.02
18800,-128.825868,200,194.20
19000,-128.820942,200,196.37
19200,-117.401461,200,198.52
19400,-0.916927,200,200.70
19600,-359.181887,200,202.84
19800,-334.056678,200,204.98
20000,-238.204676,200,207.15
20200,-120.828999,200,209.29
20400,-123.772304,200,211.43
20600,-127.124578,200,213.56
20800,-296.83638,200,215.73
21000,-0.819214,200,217.87
21200,-116.349622,200,220.00
21400,-242.100146,200,222.18
21600,-229.53709,200,224.31
21800,-231.631245,200,226.45
22000,-227.789907,200,228.64
22200,-240.574721,200,230.81
22400,-223.864852,200,232.96
22600,-233.274389,200,235.34
22800,-0.560978,200,237.55
23000,-123.709563,200,239.75
23200,-119.975875,200,241.96
23400,-0.523429,200,244.13
23600,-232.893843,200,246.29
23800,-118.906984,200,248.46
24000,-0.614883,200,250.66
24200,-121.3055,200,252.84
24400,-116.987149,200,255.02
24600,-116.018442,200,257.22
24800,-121.86443,200,259.38
25000,-244.251052,200,261.55
25200,-125.324114,200,263.69
25400,-342.43018,200,265.91
25600,-0.627761,200,268.06
25800,-246.553962,200,270.23
26000,-119.460536,200,272.44
26200,-118.093925,200,274.60
26400,-118.780762,200,276.77
26600,-124.018219,200,278.98
26800,-0.96919,200,281.23
27000,-124.995492,200,283.48
27200,-118.034474,200,285.75
27400,-232.427902,200,288.13
27600,-113.247876,200,290.42
27800,-120.719803,200,292.68
28000,-221.218402,200,295.41
28200,-0.494411,200,297.74
28400,-233.366318,200,300.13
28600,-229.086507,200,302.46
28800,-122.219472,200,304.61
29000,-1.997695,200,306.76
29200,-123.798294,200,308.95
29400,-0.510851,200,311.10
29600,-126.891947,200,313.26
29800,-243.588044,200,315.41
30000,-121.602871,200,317.58
30200,-231.874284,200,319.72
30400,-247.64296,200,321.86
30600,-126.565509,200,324.04
30800,-1.47868,200,326.18
31000,-346.745983,200,328.34
31200,-116.66781,200,330.51
31400,-119.691853,200,332.75
31600,-3.467953,200,334.94
31800,-121.121921,200,337.25
32000,-119.670822,200,339.72
32200,-3.328447,200,342.20
32400,-243.426328,200,344.53
32600,-124.385373,200,346.82
32800,-119.430153,200,349.06
33000,-123.965155,200,351.42
33200,-244.195494,200,353.85
33400,-0.641886,200,356.13
33600,-122.675527,200,358.46
33800,-117.115301,200,360.88
34000,-117.292552,200,363.25
34200,-329.68383,200,365.47
34400,-120.992184,200,367.78
34600,-129.025202,200,370.02
34800,-118.046841,200,372.22
35000,-131.900569,200,374.55
35200,-241.890514,200,376.70
35400,-125.557977,200,378.87
35600,-228.64728,200,381.02
35800,-119.457509,200,383.19
36000,-123.109253,200,385.34
36200,-116.357344,200,387.51
36400,-0.679632,200,389.69
36600,-222.198422,200,391.83
36800,-2.747508,200,393.97
37000,-314.421019,200,396.17
37200,-1.531181,200,398.32
37400,-118.693286,200,400.47
37600,-123.111154,200,402.62
37800,-229.190519,200,404.82
38000,-0.439405,200,406.98
38200,-229.701419,200,409.12
38400,-246.853176,200,411.32
38600,-241.197628,200,413.48
38800,-124.694234,200,415.63
39000,-115.745618,200,417.80
39200,-115.941896,200,419.98
39400,-120.186107,200,422.15
39600,-121.646045,200,424.31
39800,-124.529195,200,426.56
40000,-126.341826,200,428.80
40200,-120.129909,200,430.96
40400,-221.948001,200,433.14
40600,-123.962151,200,435.28
40800,-120.807758,200,437.44
41000,-118.730022,200,439.60
41200,-231.191164,200,441.79
41400,-240.2061,200,443.94
41600,-228.054673,200,446.09
41800,-115.754249,200,448.30
42000,-125.853468,200,450.45
42200,-0.616697,200,452.61
42400,-120.734836,200,454.78
42600,-127.974059,200,456.94
42800,-121.862447,200,459.09
43000,-233.165533,200,461.27
43200,-128.162945,200,463.41
43400,-123.110744,200,465.57
43600,-121.477769,200,467.75
43800,-1.171633,200,469.88
44000,-118.637325,200,472.02
44200,-124.765959,200,474.27
44400,-234.844363,200,476.65
44600,-1.818949,200,478.95
44800,-0.785995,200,481.35
45000,-117.724509,200,483.68
45200,-120.487423,200,485.86
45400,-124.805881,200,488.01
45600,-128.459647,200,490.20
45800,-239.876243,200,492.52
46000,-123.762334,200,494.69
46200,-238.5128,200,497.06
46400,-119.049027,200,499.21
46600,-116.13079,200,501.35
46800,-114.916651,200,503.48
47000,-1.046411,200,505.66
47200,-116.453673,200,507.82
47400,-6.954641,200,509.96
47600,-248.072883,200,512.45
47800,-126.238726,200,514.60
48000,-129.122095,200,516.74
48200,-131.986202,200,518.90
48400,-9.716064,200,521.09
48600,-131.654065,200,523.28
48800,-8.960438,200,525.53
49000,-132.83698,200,527.94
49200,-130.075072,200,530.39
49400,-9.776527,200,532.64
49600,-136.394401,200,535.01
49800,-134.387787,200,537.37
50000,-5.620607,200,539.58
50200,-242.235569,200,541.74
50400,-245.893035,200,544.04
50600,-363.957024,200,546.23
50800,-128.834984,200,548.59
51000,-228.766526,200,550.80
51200,-131.493174,200,553.11
51400,-121.462099,200,555.50
51600,-126.248781,200,557.73
51800,-7.408658,200,559.89
52000,-7.292089,200,562.04
