timestep,reward,ep_len,wall_time
14,14.0,14,0.00
42,28.0,28,0.00
52,10.0,10,0.00
99,47.0,47,0.00
121,22.0,22,0.01
132,11.0,11,0.01
172,40.0,40,0.01
203,31.0,31,0.01
219,16.0,16,0.01
244,25.0,25,0.01
267,23.0,23,0.01
309,42.0,42,0.01
323,14.0,14,0.01
353,30.0,30,0.01
367,14.0,14,0.01
395,28.0,28,0.02
438,43.0,43,0.02
472,34.0,34,0.02
500,28.0,28,0.02
527,27.0,27,0.02
542,15.0,15,0.02
559,17.0,17,0.02
568,9.0,9,0.02
582,14.0,14,0.02
602,20.0,20,0.02
617,15.0,15,0.02
635,18.0,18,0.03
654,19.0,19,0.03
671,17.0,17,0.03
681,10.0,10,0.03
734,53.0,53,0.03
751,17.0,17,0.03
797,46.0,46,0.03
813,16.0,16,0.03
840,27.0,27,0.03
852,12.0,12,0.03
875,23.0,23,0.03
909,34.0,34,0.04
929,20.0,20,0.04
948,19.0,19,0.04
969,21.0,21,0.04
989,20.0,20,0.04
1025,36.0,36,0.08
1035,10.0,10,0.09
1053,18.0,18,0.12
1062,9.0,9,0.13
1077,15.0,15,0.14
1107,30.0,30,0.17
1115,8.0,8,0.19
1128,13.0,13,0.20
1138,10.0,10,0.22
1149,11.0,11,0.23
1166,17.0,17,0.27
1176,10.0,10,0.28
1186,10.0,10,0.30
1209,23.0,23,0.32
1221,12.0,12,0.34
1234,13.0,13,0.35
1244,10.0,10,0.36
1257,13.0,13,0.38
1266,9.0,9,0.40
1276,10.0,10,0.42
1286,10.0,10,0.44
1298,12.0,12,0.45
1306,8.0,8,0.46
1317,11.0,11,0.47
1334,17.0,17,0.49
1346,12.0,12,0.51
1356,10.0,10,0.52
1365,9.0,9,0.53
1374,9.0,9,0.55
1383,9.0,9,0.58
1394,11.0,11,0.60
1405,11.0,11,0.61
1417,12.0,12,0.63
1427,10.0,10,0.64
1437,10.0,10,0.66
1447,10.0,10,0.67
1457,10.0,10,0.68
1468,11.0,11,0.69
1479,11.0,11,0.72
1494,15.0,15,0.74
1504,10.0,10,0.75
1518,14.0,14,0.77
1527,9.0,9,0.79
1536,9.0,9,0.80
1546,10.0,10,0.81
1559,13.0,13,0.82
1570,11.0,11,0.84
1579,9.0,9,0.85
1589,10.0,10,0.89
1599,10.0,10,0.91
1608,9.0,9,0.92
1621,13.0,13,0.94
1633,12.0,12,0.95
1641,8.0,8,0.96
1651,10.0,10,0.98
1663,12.0,12,0.99
1674,11.0,11,1.01
1684,10.0,10,1.02
1700,16.0,16,1.05
1709,9.0,9,1.07
1719,10.0,10,1.08
1729,10.0,10,1.10
1740,11.0,11,1.11
1750,10.0,10,1.13
1760,10.0,10,1.14
1769,9.0,9,1.15
1778,9.0,9,1.16
1788,10.0,10,1.18
1796,8.0,8,1.19
1805,9.0,9,1.23
1815,10.0,10,1.24
1827,12.0,12,1.26
1836,9.0,9,1.27
1847,11.0,11,1.28
1861,14.0,14,1.31
1870,9.0,9,1.32
1879,9.0,9,1.33
1888,9.0,9,1.34
1898,10.0,10,1.36
1907,9.0,9,1.38
1916,9.0,9,1.39
1928,12.0,12,1.41
1937,9.0,9,1.43
1946,9.0,9,1.44
1959,13.0,13,1.46
1968,9.0,9,1.47
1978,10.0,10,1.49
1987,9.0,9,1.50
1997,10.0,10,1.52
2007,10.0,10,1.56
2019,12.0,12,1.59
2029,10.0,10,1.61
2039,10.0,10,1.62
2049,10.0,10,1.63
2059,10.0,10,1.65
2067,8.0,8,1.66
