timestep,reward,ep_len,wall_time
99,-139.153351,99,0.01
163,-94.240602,64,0.02
264,-100.284121,101,0.03
330,-303.886381,66,0.03
399,-62.225144,69,0.04
481,-271.899763,82,0.05
565,-140.366353,84,0.05
684,-284.955978,119,0.10
753,-265.813783,69,0.11
825,-110.020814,72,0.11
922,-481.839117,97,0.13
1021,-103.257686,99,0.18
1110,-540.929895,89,0.29
1211,-428.458876,101,0.40
1318,-630.781799,107,0.58
1407,-342.449065,89,0.73
1651,-55.619084,244,1.13
1757,41.70492,106,1.27
2083,-525.21309,326,1.87
2262,-640.263065,179,2.17
2416,-579.445391,154,2.43
2516,-657.249516,100,2.60
2614,-477.14436,98,2.75
2685,-615.199041,71,2.85
2745,-399.291218,60,2.96
2817,-555.227788,72,3.07
2888,-474.722768,71,3.20
2976,-219.484704,88,3.32
3076,-7.344459,100,3.49
3209,-30.746372,133,3.72
3292,-255.934321,83,3.84
3356,-177.666608,64,3.93
3438,-223.661195,82,4.10
3536,-282.542261,98,4.25
3650,-130.839413,114,4.45
3738,-105.881089,88,4.58
3822,-293.296346,84,4.74
3926,-200.253022,104,4.90
3985,-347.812858,59,5.01
4045,-423.860381,60,5.10
4098,-336.004879,53,5.21
4252,-211.508429,154,5.46
4381,-187.598569,129,5.69
4520,-31.43419,139,5.93
4593,-27.134114,73,6.08
4751,-237.995272,158,6.37
4867,-366.126249,116,6.57
4969,-121.969959,102,6.74
5091,-235.327995,122,6.97
5225,-93.751014,134,7.19
5541,-177.463459,316,7.79
6541,-186.599985,1000,10.35
7541,-204.721723,1000,13.10
8541,-139.964573,1000,16.06
9541,-93.856461,1000,19.04
10541,-80.505162,1000,21.35
11541,-123.672651,1000,23.72
12541,-134.102099,1000,26.12
13541,-120.836351,1000,28.54
14541,-85.945443,1000,30.65
15541,-90.67815,1000,33.49
16541,-138.562407,1000,35.72
17541,-121.458833,1000,38.74
18541,-75.198746,1000,41.39
19541,-105.477987,1000,43.68
20541,-89.720236,1000,46.39
21541,-87.668005,1000,48.65
22541,-114.565237,1000,50.99
23541,-91.011595,1000,53.66
24541,-110.214162,1000,56.29
25541,-94.290671,1000,58.99
26541,-136.118114,1000,61.34
26818,-130.70808,277,61.81
27818,-141.645236,1000,64.86
28099,-270.679744,281,65.39
29099,-93.761976,1000,67.63
