timestep,reward,ep_len,wall_time
40,10.0,10,0.24
44,11.0,11,0.24
60,15.0,15,0.25
116,18.0,18,0.29
128,17.0,17,0.29
140,35.0,35,0.30
144,26.0,26,0.30
168,13.0,13,0.32
192,13.0,13,0.33
252,15.0,15,0.37
268,25.0,25,0.38
296,38.0,38,0.40
324,18.0,18,0.41
328,15.0,15,0.42
344,54.0,54,0.42
404,20.0,20,0.46
408,20.0,20,0.46
440,36.0,36,0.48
440,24.0,24,0.48
452,12.0,12,0.49
484,19.0,19,0.51
512,18.0,18,0.52
524,18.0,18,0.53
544,26.0,26,0.54
572,15.0,15,0.56
584,15.0,15,0.57
628,11.0,11,0.59
632,15.0,15,0.59
644,25.0,25,0.60
656,43.0,43,0.61
728,18.0,18,0.65
728,24.0,24,0.65
740,24.0,24,0.66
768,10.0,10,0.68
792,16.0,16,0.69
808,17.0,17,0.70
816,12.0,12,0.70
820,48.0,48,0.70
844,13.0,13,0.72
880,16.0,16,0.74
904,24.0,24,0.75
944,25.0,25,0.78
960,14.0,14,0.79
988,27.0,27,0.80
996,44.0,44,0.81
1000,10.0,10,0.81
1056,17.0,17,0.84
1056,15.0,15,0.84
1088,36.0,36,0.87
1132,33.0,33,0.89
1136,12.0,12,0.90
1156,25.0,25,0.91
1176,30.0,30,0.92
1180,11.0,11,0.92
1204,18.0,18,0.94
1264,15.0,15,0.97
1284,26.0,26,0.98
1288,33.0,33,0.98
1352,44.0,44,1.02
1372,27.0,27,1.03
1376,23.0,23,1.04
1392,26.0,26,1.04
1424,13.0,13,1.06
1424,12.0,12,1.06
1444,13.0,13,1.08
1496,18.0,18,1.11
1516,23.0,23,1.12
1548,26.0,26,1.14
1548,49.0,49,1.14
1576,15.0,15,1.15
1600,13.0,13,1.17
1620,18.0,18,1.18
1644,17.0,17,1.20
1656,14.0,14,1.20
1672,13.0,13,1.21
1696,50.0,50,1.23
1712,10.0,10,1.24
1716,15.0,15,1.24
1760,16.0,16,1.27
1792,19.0,19,1.29
1808,24.0,24,1.30
1816,43.0,43,1.30
1832,18.0,18,1.31
1848,14.0,14,1.32
1852,11.0,11,1.32
1856,10.0,10,1.32
1872,10.0,10,1.33
1888,8.0,8,1.34
1912,16.0,16,1.36
1928,14.0,14,1.37
1960,18.0,18,1.39
1960,12.0,12,1.39
1980,32.0,32,1.40
2012,13.0,13,1.42
2068,14.0,14,1.45
2076,24.0,24,1.45
2084,31.0,31,1.46
2100,43.0,43,1.47
2152,19.0,19,1.50
2160,23.0,23,1.50
2184,21.0,21,1.51
2220,34.0,34,1.53
2232,18.0,18,1.54
2264,28.0,28,1.56
2264,11.0,11,1.56
2268,21.0,21,1.56
2288,14.0,14,1.57
2312,12.0,12,1.59
2384,24.0,24,1.63
2392,20.0,20,1.64
2400,33.0,33,1.64
2424,40.0,40,1.66
2436,13.0,13,1.66
2444,13.0,13,1.67
2452,13.0,13,1.67
