timestep,reward,ep_len,wall_time
48,12.0,12,0.00
60,15.0,15,0.00
72,18.0,18,0.00
100,25.0,25,0.01
120,18.0,18,0.01
136,9.0,9,0.01
140,17.0,17,0.01
140,20.0,20,0.01
220,20.0,20,0.01
220,25.0,25,0.01
228,23.0,23,0.01
268,12.0,12,0.01
272,11.0,11,0.01
288,37.0,37,0.01
308,10.0,10,0.01
312,23.0,23,0.01
316,11.0,11,0.01
352,11.0,11,0.02
400,28.0,28,0.02
432,29.0,29,0.02
440,22.0,22,0.02
456,36.0,36,0.02
476,19.0,19,0.02
508,19.0,19,0.02
544,26.0,26,0.02
560,26.0,26,0.02
600,14.0,14,0.03
604,24.0,24,0.03
616,14.0,14,0.03
640,41.0,41,0.03
660,11.0,11,0.03
692,22.0,22,0.03
700,15.0,15,0.03
748,14.0,14,0.03
764,26.0,26,0.03
776,19.0,19,0.03
808,52.0,52,0.03
820,14.0,14,0.03
824,12.0,12,0.03
848,25.0,25,0.04
880,14.0,14,0.04
904,14.0,14,0.04
912,23.0,23,0.04
928,30.0,30,0.04
944,16.0,16,0.04
956,11.0,11,0.04
976,12.0,12,0.04
984,20.0,20,0.04
992,12.0,12,0.04
1024,12.0,12,0.04
1024,17.0,17,0.04
1072,12.0,12,0.04
1072,20.0,20,0.04
1076,23.0,23,0.04
1104,20.0,20,0.05
1112,10.0,10,0.05
1136,15.0,15,0.05
1144,10.0,10,0.05
1164,23.0,23,0.05
1184,10.0,10,0.05
1248,21.0,21,0.05
1280,36.0,36,0.05
1300,47.0,47,0.05
1308,31.0,31,0.05
1336,9.0,9,0.06
1372,31.0,31,0.06
1400,16.0,16,0.06
1416,11.0,11,0.06
1448,12.0,12,0.06
1488,45.0,45,0.06
1512,58.0,58,0.06
1544,24.0,24,0.06
1544,14.0,14,0.06
1544,32.0,32,0.06
1592,20.0,20,0.07
1600,14.0,14,0.07
1616,18.0,18,0.07
1632,10.0,10,0.07
1664,30.0,30,0.07
