timestep,reward,ep_len,wall_time
392,-360.368366,98,0.37
460,-124.806382,115,0.43
460,-294.262043,115,0.43
548,-136.730066,137,0.50
644,-106.30605,63,0.60
692,-86.949232,58,0.64
860,-266.797532,100,0.80
880,-110.627069,83,0.82
916,-61.988962,56,0.85
1080,-119.79921,109,1.00
1180,-56.611767,66,1.08
1240,-421.034242,90,1.12
1336,-123.815546,119,1.24
1440,-257.764442,90,1.31
1460,-103.718763,70,1.33
1692,-259.799093,113,1.54
1728,-165.957017,72,1.58
1752,-70.667686,104,1.62
1936,-82.260169,119,1.76
2032,-83.432948,85,1.87
2128,-122.933964,94,1.94
2176,-78.937907,112,1.98
2220,20.164404,71,2.04
2444,-144.007711,103,2.24
2520,-121.523265,86,2.31
2524,-277.619218,76,2.31
2544,-321.828822,104,2.33
2748,-225.960821,76,2.51
2772,-112.379573,63,2.53
2816,-124.17321,68,2.56
2884,-335.118689,90,2.61
3128,-119.626295,78,2.83
3140,-360.840705,98,2.86
3240,-495.024608,89,2.95
3272,-333.290622,125,2.98
3524,-441.887029,99,3.20
3576,-123.763944,76,3.24
3584,-275.298328,111,3.25
3652,-209.383846,103,3.33
3968,-118.613844,98,3.61
4044,-228.650846,130,3.66
4072,-317.359371,105,3.71
4108,-160.977337,131,3.75
4292,-85.887266,62,3.89
4332,-221.788786,91,3.95
4352,-194.634363,70,3.97
4432,-109.390942,81,4.03
4660,-72.92387,92,4.23
4676,-127.331138,81,4.24
4700,-110.789639,92,4.26
4772,-37.378675,85,4.31
4980,-44.280632,80,4.50
5012,-126.706515,78,4.54
5012,-113.212528,84,4.54
5264,-12.220048,123,4.78
5344,-333.767758,91,4.85
5392,-118.223985,95,4.88
5436,-150.553295,106,4.92
5580,-86.873194,59,5.06
5716,-4.037518,113,5.16
5736,-266.273015,86,5.21
5796,-269.178794,90,5.26
5816,-74.195167,59,5.27
6096,-248.097335,95,5.51
6096,-136.317302,90,5.51
6176,-190.861593,90,5.57
6184,-118.763914,97,5.58
6484,-214.614257,97,5.87
6572,-202.555471,97,5.94
6608,-114.122613,128,5.97
6776,-336.226636,150,6.13
6860,-166.129652,94,6.20
6900,-204.073793,82,6.25
7048,-397.71553,110,6.37
7248,-250.007655,97,6.56
7276,-322.957024,125,6.58
7400,-293.88502,125,6.71
7436,-128.47911,97,6.73
7492,-194.111259,61,6.78
7584,-103.389228,77,6.85
7676,-50.526534,69,6.95
7768,-234.60725,69,7.02
7872,-80.077528,72,7.13
7932,-193.395584,124,7.18
8004,-145.848731,59,7.23
8120,-424.707222,111,7.35
8164,-212.677408,73,7.38
8288,-15.148434,71,17.10
8400,-187.364055,117,17.23
8544,-320.164885,106,17.34
8556,-202.72147,67,17.35
8700,-345.350626,134,17.49
8860,-322.725926,115,17.65
8864,-95.135926,80,17.66
9112,-241.315977,139,17.88
9132,-54.431184,68,17.90
9188,-149.887275,122,17.94
9228,-163.229339,91,17.97
9476,-150.755671,86,18.19
9492,-80.208683,76,18.35
9580,-120.845584,88,18.42
9600,-407.92163,122,18.43
9864,-162.208557,71,18.65
9884,-82.370982,98,18.67
10016,-127.513295,135,18.80
10024,-333.054923,106,18.81
10144,-100.1782,65,18.89
10184,-109.306636,80,18.91
10444,-331.610631,107,19.14
10488,-109.362413,76,19.17
10640,-240.12239,124,19.32
10644,-50.782655,155,19.33
10800,-108.509698,78,19.47
10864,-353.570042,105,19.52
10940,-133.922254,74,19.58
11124,-204.271295,121,19.75
11140,-129.13817,69,19.76
11352,-166.584496,138,19.95
11440,-54.694625,75,20.02
11448,-159.557398,127,20.02
11532,-150.705278,102,20.12
11720,-68.626171,70,20.29
11736,-156.954479,96,20.31
11968,-80.606405,62,20.52
12024,-294.873035,144,20.56
12024,-311.125893,123,20.56
12240,-126.122858,126,20.76
12384,-147.039336,90,20.86
12528,-99.688975,140,21.01
12544,-146.905284,76,21.03
12600,-257.964419,144,21.07
12728,-113.395492,86,21.20
12796,-62.807318,63,21.25
12848,-90.642646,62,21.29
13120,-251.474511,148,21.53
13176,-129.707009,95,21.60
13240,-107.645219,128,21.65
13300,-105.850669,113,21.70
13400,-220.738847,70,21.80
13580,-122.898261,101,21.94
13616,-164.872686,94,21.99
13660,-294.760044,90,22.03
13728,-108.318689,82,22.08
13844,-82.626024,66,22.19
14104,-13.28994,111,22.43
14128,-117.282446,71,22.45
14188,-115.866813,115,22.50
14220,-189.60682,151,22.53
14368,-55.671917,60,22.67
14400,-66.606522,74,22.69
14424,-95.206869,59,22.71
14696,-88.219683,74,22.95
14700,-313.065397,120,22.95
14800,-527.705999,108,23.06
14816,-236.291982,98,23.07
15120,-344.39341,105,23.34
15152,-135.289041,114,23.37
15244,-391.810217,111,23.45
15296,-203.679105,120,23.51
15460,-78.83477,85,23.63
15480,-88.161662,59,23.66
15512,-352.234197,90,23.70
15688,-107.047977,98,23.83
15820,-141.521785,85,23.97
15844,-267.125169,96,23.98
15928,-263.853147,104,24.05
16152,-102.849103,77,24.25
16164,-114.494207,86,24.26
16184,-228.224498,124,24.27
16296,-128.013494,92,24.39
16444,-73.301463,65,34.28
16552,-119.409229,100,34.41
16604,-70.619211,77,34.46
16712,-57.563358,67,34.60
16796,-103.299651,158,34.67
16940,-73.677122,84,34.83
16968,-162.251387,104,34.85
17144,-455.580641,108,35.03
17356,-6.030999,140,35.24
17380,-298.76926,110,35.26
17396,-107.995826,63,35.27
17476,-227.482317,127,35.33
17640,-128.958552,71,35.49
17824,-125.762344,107,35.67
17844,-79.371689,116,35.69
18032,-239.946425,98,35.86
18036,-199.551642,140,35.87
18164,-136.425402,85,35.97
18192,-280.654314,87,36.02
18496,-100.609359,83,36.29
18532,-189.516891,85,36.32
18536,-334.877042,126,36.32
18584,-218.053977,137,36.36
18808,-87.231663,68,36.56
18816,-105.090302,80,36.57
18864,-114.462754,83,36.60
18872,-106.784975,72,36.61
19168,-89.070989,88,36.90
19272,-173.930268,116,36.98
19284,-123.059255,103,36.99
19388,-410.002542,131,37.11
19576,-180.216922,102,37.27
19712,41.445762,107,37.39
19736,-77.461357,87,37.41
19752,-120.760233,120,37.42
19972,-89.260393,59,37.61
19992,-335.698199,104,37.63
20040,-45.823772,82,37.68
20048,-125.568484,74,37.70
20252,-114.907872,70,37.86
20448,-61.306659,114,38.04
20464,-152.589895,106,38.06
20596,-330.085407,137,38.19
20740,-80.84075,73,38.32
20796,-209.581536,136,38.37
20884,-97.799852,105,38.44
21008,-84.365479,67,38.57
21108,-120.635867,78,38.65
21140,-112.604852,136,38.68
21272,-205.543695,97,38.81
21320,-88.601234,78,38.85
21640,-360.822676,133,39.16
21792,-320.456003,130,39.30
21852,-342.284466,178,39.36
22196,-469.78933,139,39.68
22276,-261.513062,106,39.75
22344,-371.339587,138,39.83
22460,-85.730844,66,39.93
22624,-74.83674,70,40.10
22712,-117.074492,109,40.17
22992,-108.55467,133,40.48
23168,-291.55199,136,40.66
23252,-176.887663,135,40.74
23432,-81.354048,110,40.93
23600,-231.26183,87,41.12
23724,-265.657322,139,41.23
23948,-124.008517,129,41.50
23960,-141.486345,90,41.51
24000,-51.656581,69,41.55
24388,-122.274179,107,41.98
24468,-48.997813,117,42.06
24580,-242.792917,158,52.11
24780,-125.47637,78,52.34
25020,-199.13266,158,52.64
25136,-219.076783,139,52.76
25152,-82.455351,93,52.78
25320,77.963122,1000,52.98
25348,-77.830108,82,53.01
25528,-82.48912,94,53.18
25612,-205.50478,73,53.26
25616,-95.634086,120,53.27
25712,-58.14064,91,53.35
25796,-78.363619,67,53.41
25972,-83.154651,65,53.58
26028,-181.609425,103,53.62
26048,-119.219784,109,53.64
26284,-29.545076,64,53.85
26312,-221.052883,129,53.90
26340,-521.403284,92,53.93
26468,-138.926144,105,54.03
26636,-89.968517,74,54.19
26640,-66.620601,82,54.20
26660,-313.311168,94,54.21
26940,-102.958181,75,54.46
26960,-93.494651,123,54.47
26976,-61.872065,79,54.48
27084,-118.254506,112,54.60
27320,-88.10655,86,54.81
27444,-251.855089,90,54.91
27460,-192.677159,130,54.93
27496,-75.451111,134,54.98
27708,-204.486217,97,55.17
