timestep,reward,ep_len,wall_time
75,-159.658123,75,0.01
166,-353.14733,91,0.03
257,-343.97107,91,0.04
360,-343.048746,103,0.06
465,-152.057476,105,0.08
560,-300.828004,95,0.09
688,-306.870613,128,0.12
804,-157.260226,116,0.14
931,-184.44664,127,0.16
1035,-368.8842,104,1.21
1130,-355.284014,95,2.19
1223,-385.362509,93,3.13
1299,-109.129151,76,3.91
1417,-166.250299,118,5.16
1486,-98.529364,69,5.88
1587,-57.795778,101,6.91
1686,-130.09419,99,7.98
1819,-184.807857,133,9.45
1970,-218.223299,151,11.10
2132,-256.670638,162,13.00
2349,-286.531291,217,15.53
2482,-281.929633,133,17.00
2775,-71.969748,293,20.20
2927,-122.326335,152,21.78
3071,-106.210959,144,23.26
3633,-121.986145,562,29.48
4633,-103.006485,1000,41.95
4826,-282.497354,193,44.43
5826,-20.091826,1000,58.67
6826,-44.120774,1000,72.68
7826,-45.156483,1000,87.65
8826,-89.524506,1000,102.39
9826,-101.542181,1000,117.02
10826,-60.211547,1000,132.30
11826,-51.069638,1000,146.21
12826,-105.53193,1000,158.26
13826,16.36791,1000,171.85
14826,-78.085776,1000,186.05
15826,-31.80285,1000,201.42
16777,-185.446943,951,215.36
17777,-75.430675,1000,229.22
18577,-867.198823,800,239.39
19542,-177.971942,965,253.16
20542,-103.52909,1000,267.65
20728,-26.965641,186,269.66
21728,-125.10491,1000,281.22
22728,-52.261599,1000,293.66
23588,-107.731088,860,304.17
24130,-7.536194,542,310.26
24539,-14.121657,409,314.62
25438,-99.832155,899,326.47
26438,-5.132108,1000,337.90
27438,-30.577569,1000,351.61
27586,24.684021,148,353.48
28586,-18.600252,1000,368.61
29586,-50.444441,1000,384.56
29790,-3.344714,204,387.42
