timestep,reward,ep_len,wall_time
200,-876.488707,200,0.02
400,-1450.271575,200,0.04
600,-1046.764912,200,0.05
800,-1196.842316,200,0.07
1000,-766.259472,200,0.10
1200,-1289.666022,200,2.72
1400,-1307.68224,200,5.24
1600,-1499.213444,200,7.76
1800,-1726.539838,200,10.29
2000,-1459.432371,200,12.85
2200,-1556.994419,200,15.45
2400,-1345.27517,200,17.65
2600,-1532.110638,200,19.77
2800,-1051.672864,200,21.88
3000,-1192.085857,200,24.56
3200,-749.580763,200,27.51
3400,-884.462473,200,30.16
3600,-643.743139,200,32.70
3800,-843.531353,200,35.24
4000,-131.797468,200,37.37
4200,-129.758719,200,40.03
4400,-129.866946,200,42.62
4600,-248.648525,200,45.18
4800,-0.827823,200,47.72
5000,-255.644069,200,50.27
5200,-123.334773,200,52.83
5400,-123.8977,200,55.40
5600,-115.781007,200,57.93
5800,-240.166584,200,60.49
6000,-241.352301,200,63.03
6200,-118.57538,200,65.58
6400,-123.845886,200,68.13
6600,-253.699065,200,70.68
6800,-120.531592,200,73.37
7000,-114.967277,200,76.16
7200,-242.986458,200,78.95
7400,-241.090676,200,81.58
7600,-3.343048,200,84.23
7800,-121.969079,200,86.86
8000,-114.983345,200,89.52
8200,-254.493824,200,92.36
8400,-119.407826,200,95.02
8600,-126.258238,200,97.78
8800,-124.92745,200,100.39
9000,-515.778983,200,103.04
9200,-121.667208,200,105.66
9400,-256.611357,200,108.32
9600,-118.127122,200,110.95
9800,-234.196408,200,113.63
10000,-125.564419,200,116.24
